Dataset,Features,Classes,Nodes,Edges,Avg. Node Degree,Training Nodes,Isolated Nodes,Self-loops,Undirected
Amazon Computers,767,10,13752,491722,"35,76",12252,TRUE,FALSE,TRUE
CiteSeer,602,6,4230,10674,"2,52",2730,FALSE,FALSE,TRUE
CoAuthors CS,6805,15,18333,163788,"8,93",16833,FALSE,FALSE,TRUE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dataset,Environment,Model,Training Time (sec),CPU HUP,GPU HUP,GPU Max. Usage,High Val. Accuracy,,
Amazon Computers,CPU,GCN,60,33,-,-,"0,773",,
,CPU + GPU,,7,0,0,-,"0,847",,
,CPU,GraphSAGE,228,8,-,-,"0,544",,
,CPU + GPU,,"24,8",65,0,-,"0,353",,
CiteSeer,CPU,GCN,23,15,-,-,"0,954",,
,CPU + GPU,,"22,8",64,0,-,"0,959",,
,CPU,GraphSAGE,32,78,-,-,"0,954",,
,CPU + GPU,,18,43,0,,"0,953",,
CoAuthors CS,CPU,GCN,"55,7",14,-,-,"0,947",,
,CPU + GPU,,"16,4",16,0,-,"0,942",,
,CPU,GraphSAGE,1052,0,-,-,"0,942",,
,CPU + GPU,,"38,1",21,9,-,"0,947",,
,,,,,,,,,
Dataset,Environment,Model,Training Time (sec),,,,,,
Amazon Computers,CPU,GCN,60,,,,,,
Amazon Computers,CPU,GraphSAGE,228,,,,,,
Amazon Computers,GPU Accelerated,GCN,7,,,,,,
Amazon Computers,GPU Accelerated,GraphSAGE,"24,8",,,,,,
CiteSeer,CPU,GCN,23,,,,,,
CiteSeer,CPU,GraphSAGE,32,,,,,,
CiteSeer,GPU Accelerated,GCN,"22,8",,,,,,
CiteSeer,GPU Accelerated,GraphSAGE,18,,,,,,
CoAuthors CS,CPU,GCN,"55,70",,,,,,
CoAuthors CS,CPU,GraphSAGE,1052,,,,,,
CoAuthors CS,GPU Accelerated,GCN,"25,3",,,,,,
CoAuthors CS,GPU Accelerated,GraphSAGE,"38,1",,,,,,
